Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
All Grades,2006,Asian,58225,687,2550,4.4,6771,11.6,26491,45.5,22413,38.5,48904,84.0
All Grades,2007,Asian,59063,695,1718,2.9,5127,8.7,25383,43.0,26835,45.4,52218,88.4
All Grades,2008,Asian,59928,700,992,1.7,3487,5.8,25585,42.7,29864,49.8,55449,92.5
All Grades,2009,Asian,62044,705,583,0.9,2596,4.2,25271,40.7,33594,54.1,58865,94.9
All Grades,2010,Asian,65093,703,1958,3.0,9982,15.3,21484,33.0,31669,48.7,53153,81.7
All Grades,2011,Asian,65047,702,1762,2.7,8665,13.3,23359,35.9,31261,48.1,54620,84.0
All Grades,2006,Black,146229,644,29978,20.5,48314,33.0,57111,39.1,10826,7.4,67937,46.5
All Grades,2007,Black,139782,654,19482,13.9,42835,30.6,62802,44.9,14663,10.5,77465,55.4
All Grades,2008,Black,133000,661,11395,8.6,33974,25.5,72115,54.2,15516,11.7,87631,65.9
All Grades,2009,Black,129372,669,5923,4.6,26378,20.4,77780,60.1,19291,14.9,97071,75.0
All Grades,2010,Black,126492,669,18706,14.8,56656,44.8,36678,29.0,14452,11.4,51130,40.4
All Grades,2011,Black,122835,670,16397,13.3,52117,42.4,41801,34.0,12520,10.2,54321,44.2
All Grades,2006,Hispanic,177382,647,33091,18.7,56129,31.6,72746,41.0,15416,8.7,88162,49.7
All Grades,2007,Hispanic,173809,657,21840,12.6,49360,28.4,81684,47.0,20925,12.0,102609,59.0
All Grades,2008,Hispanic,169957,664,12778,7.5,38950,22.9,95170,56.0,23059,13.6,118229,69.6
All Grades,2009,Hispanic,169048,673,6824,4.0,29587,17.5,102188,60.4,30449,18.0,132637,78.5
All Grades,2010,Hispanic,170011,673,21492,12.6,70036,41.2,54092,31.8,24391,14.3,78483,46.2
All Grades,2011,Hispanic,172043,673,20076,11.7,67362,39.2,63419,36.9,21186,12.3,84605,49.2
All Grades,2006,White,62077,676,3939,6.3,10216,16.5,30371,48.9,17551,28.3,47922,77.2
All Grades,2007,White,60477,684,2667,4.4,7768,12.8,29757,49.2,20285,33.5,50042,82.7
All Grades,2008,White,59804,690,1599,2.7,5368,9.0,30100,50.3,22737,38.0,52837,88.4
All Grades,2009,White,60485,696,867,1.4,3829,6.3,29896,49.4,25893,42.8,55789,92.2
All Grades,2010,White,61228,695,2569,4.2,13054,21.3,22445,36.7,23160,37.8,45605,74.5
All Grades,2011,White,62193,695,2418,3.9,11336,18.2,25191,40.5,23248,37.4,48439,77.9
